,car_age,car_age_category,car_brand,car_city,car_country,car_fuel,car_id,car_mileage,car_model,car_price
2909,20,Old,Honda,Barnaul,JP,gasoline,2909,273.8k,Elysion,1429.0k
2942,19,Old,Volkswagen,Barnaul,DE,gasoline,2942,316.0k,Passat,605.0k
2951,25,Old,Toyota,Barnaul,JP,gasoline,2951,261.0k,Nadia,670.0k
2971,17,Old,Chevrolet,Barnaul,USA,gasoline,2971,240.0k,Captiva,1180.0k
2978,14,Old,Citroen,Barnaul,FR,gasoline,2978,184.0k,C4,510.0k
3005,22,Old,Lada,Krasnoyarsk,RUS,gasoline,3005,82.2k,2105,85.0k
3008,2,New,Chery,Barnaul,CN,gasoline,3008,2.6k,Tiggo 4 Pro,2042.0k
3012,2,New,Chery,Barnaul,CN,gasoline,3012,40.0k,Tiggo 7 Pro,2157.0k
3024,17,Old,Honda,Barnaul,JP,gasoline,3024,305.0k,Stepwgn,1287.0k
3034,17,Old,BMW,Barnaul,DE,gasoline,3034,200.0k,3-Series,1400.0k
3035,14,Old,Lada,Nizhny Novgorod,RUS,gasoline,3035,29.0k,2105,190.0k
3055,11,Old,Nissan,Blagoveshchensk,JP,gasoline,3055,140.0k,Note,840.0k
3065,9,Middle,Honda,Blagoveshchensk,JP,gasoline,3065,102.0k,Vezel,1490.0k
3081,24,Old,Toyota,Blagoveshchensk,JP,gasoline,3081,250.0k,Sparky,350.0k
3084,12,Old,Hyundai,Blagoveshchensk,KR,gasoline,3084,106.0k,Elantra,1100.0k
3090,7,Middle,Volkswagen,Blagoveshchensk,DE,gasoline,3090,160.0k,Tiguan,2450.0k
3095,3,New,RAM,Blagoveshchensk,USA,gasoline,3095,20.0k,1500,18000.0k
3107,3,New,Nissan,Blagoveshchensk,JP,gasoline,3107,45.8k,Qashqai,2600.0k
3128,4,Middle,Daihatsu,Blagoveshchensk,JP,gasoline,3128,78.3k,Thor,1145.0k
3131,13,Old,Lexus,Blagoveshchensk,JP,gasoline,3131,178.0k,RX270,2250.0k
3136,13,Old,Toyota,Blagoveshchensk,JP,hybrid,3136,103.0k,Camry,1500.0k
3139,15,Old,Toyota,Blagoveshchensk,JP,hybrid,3139,250.0k,Prius,1030.0k
3140,14,Old,Toyota,Blagoveshchensk,JP,gasoline,3140,168.0k,Mark X,1560.0k
3146,15,Old,Lada,Novosibirsk,RUS,gasoline,3146,12.5k,2105,235.0k
3147,16,Old,Nissan,Blagoveshchensk,JP,gasoline,3147,180.0k,Tiida,670.0k
3158,16,Old,Nissan,Blagoveshchensk,JP,gasoline,3158,95.0k,Kix,535.0k
3169,3,New,Great,Blagoveshchensk,CN,diesel,3169,21.0k,Wall Poer,3550.0k
3174,14,Old,Lada,Novosibirsk,RUS,gasoline,3174,130.0k,2105,136.0k
3177,23,Old,Toyota,Blagoveshchensk,JP,diesel,3177,215.8k,Corolla,200.0k
3187,12,Old,Nissan,Blagoveshchensk,JP,gasoline,3187,56.0k,Tiida,1055.0k
3203,28,Old,Toyota,Blagoveshchensk,JP,gasoline,3203,461.2k,Camry,300.0k
3213,20,Old,Toyota,Blagoveshchensk,JP,gasoline,3213,258.0k,Ipsum,950.0k
3232,9,Middle,Honda,Blagoveshchensk,JP,gasoline,3232,79.2k,Stepwgn,1700.0k
3241,11,Old,Lexus,Blagoveshchensk,JP,gasoline,3241,154.0k,LX570,5200.0k
3252,3,New,Honda,Blagoveshchensk,JP,gasoline,3252,90.0k,Fit,1355.0k
3253,33,Old,Toyota,Blagoveshchensk,JP,gasoline,3253,300.0k,Camry,100.0k
3269,28,Old,Toyota,Blagoveshchensk,JP,gasoline,3269,250.0k,Chaser,800.0k
3291,7,Middle,Nissan,Blagoveshchensk,JP,hybrid,3291,64.0k,Note,1270.0k
3297,26,Old,Toyota,Blagoveshchensk,JP,gasoline,3297,209.0k,Crown,610.0k
3306,5,Middle,BMW,Blagoveshchensk,DE,gasoline,3306,40.0k,7-Series,7000.0k
3312,4,Middle,Toyota,Blagoveshchensk,JP,diesel,3312,30.0k,Land Cruiser Prado,5270.0k
3320,10,Old,Toyota,Blagoveshchensk,JP,gasoline,3320,118.0k,Wish,1670.0k
3330,8,Middle,Nissan,Blagoveshchensk,JP,gasoline,3330,185.0k,X-Trail,2150.0k
3336,13,Old,Nissan,Blagoveshchensk,JP,gasoline,3336,166.2k,Wingroad,890.0k
3340,10,Old,Subaru,Blagoveshchensk,JP,gasoline,3340,138.0k,Levorg,1700.0k
3346,16,Old,Toyota,Blagoveshchensk,JP,hybrid,3346,230.0k,Estima,720.0k
3354,15,Old,Toyota,Blagoveshchensk,JP,gasoline,3354,70.0k,Wish,1360.0k
3363,7,Middle,Toyota,Blagoveshchensk,JP,gasoline,3363,103.0k,Passo,840.0k
3380,5,Middle,Toyota,Blagoveshchensk,JP,gasoline,3380,88.9k,Harrier,3000.0k
3381,6,Middle,Suzuki,Blagoveshchensk,JP,gasoline,3381,84.0k,Swift,1085.0k
3383,37,Old,Toyota,Blagoveshchensk,JP,gasoline,3383,328.0k,Carina,410.0k
3392,18,Old,Mercedes-Benz,Blagoveshchensk,DE,gasoline,3392,210.0k,M-Class,1050.0k
3396,5,Middle,Nissan,Blagoveshchensk,JP,hybrid,3396,80.0k,X-Trail,3000.0k
3407,27,Old,Toyota,Blagoveshchensk,JP,gasoline,3407,300.0k,Carina,750.0k
3409,8,Middle,Honda,Blagoveshchensk,JP,gasoline,3409,92.3k,Vezel,1950.0k
3416,11,Old,Nissan,Blagoveshchensk,JP,gasoline,3416,71.5k,X-Trail,1585.0k
3420,23,Old,Nissan,Blagoveshchensk,JP,gasoline,3420,280.0k,Cube,180.0k
3444,7,Middle,Toyota,Blagoveshchensk,JP,gasoline,3444,130.0k,Harrier,2920.0k
3459,30,Old,Toyota,Blagoveshchensk,JP,gasoline,3459,409.0k,Chaser,580.0k
3462,13,Old,Toyota,Blagoveshchensk,JP,gasoline,3462,60.6k,Premio,1395.0k
3463,5,Middle,Toyota,Blagoveshchensk,JP,hybrid,3463,44.5k,C-HR,2460.0k
3465,5,Middle,Toyota,Blagoveshchensk,JP,gasoline,3465,27.1k,Land Cruiser Prado,4950.0k
3467,27,Old,Toyota,Blagoveshchensk,JP,gasoline,3467,350.0k,Mark II,550.0k
3475,27,Old,Toyota,Blagoveshchensk,JP,gasoline,3475,354.0k,Chaser,600.0k
3483,41,Old,Nissan,Blagoveshchensk,JP,diesel,3483,212.6k,Elgrand,700.0k
3492,8,Middle,Mitsubishi,Blagoveshchensk,JP,hybrid,3492,89.0k,Outlander,2300.0k
3501,14,Old,Toyota,Blagoveshchensk,JP,gasoline,3501,169.0k,Corolla Axio,950.0k
3512,14,Old,Toyota,Blagoveshchensk,JP,gasoline,3512,125.0k,Land Cruiser Prado,3100.0k
3513,3,New,Kia,Blagoveshchensk,KR,gasoline,3513,12.0k,Rio,1990.0k
3521,5,Middle,Subaru,Blagoveshchensk,JP,hybrid,3521,49.0k,Forester,2733.0k
3529,17,Old,Toyota,Blagoveshchensk,JP,gasoline,3529,200.0k,ist,750.0k
3530,9,Middle,Toyota,Blagoveshchensk,JP,hybrid,3530,113.0k,Corolla Fielder,1240.0k
3531,7,Middle,Nissan,Blagoveshchensk,JP,hybrid,3531,110.0k,Serena,1900.0k
3556,29,Old,Toyota,Blagoveshchensk,JP,gasoline,3556,255.8k,Corolla,230.0k
3559,12,Old,Toyota,Blagoveshchensk,JP,hybrid,3559,227.0k,Prius,1250.0k
3568,24,Old,Daihatsu,Blagoveshchensk,JP,gasoline,3568,350.0k,YRV,380.0k
3576,6,Middle,Toyota,Blagoveshchensk,JP,gasoline,3576,65.0k,Passo,920.0k
3580,6,Middle,Toyota,Blagoveshchensk,JP,gasoline,3580,74.6k,Vitz,979.0k
3581,10,Old,Honda,Blagoveshchensk,JP,hybrid,3581,152.0k,Vezel,1670.0k
3597,36,Old,Toyota,Blagoveshchensk,JP,gasoline,3597,320.0k,Chaser,400.0k
3602,7,Middle,Toyota,Blagoveshchensk,JP,gasoline,3602,55.0k,Land Cruiser Prado,4350.0k
3605,5,Middle,Honda,Blagoveshchensk,JP,gasoline,3605,61.0k,Vezel,2000.0k
3615,5,Middle,Toyota,Blagoveshchensk,JP,gasoline,3615,112.0k,Mark X,2680.0k
3635,29,Old,Toyota,Blagoveshchensk,JP,diesel,3635,170.0k,Hilux Surf,1350.0k
3646,6,Middle,Lexus,Blagoveshchensk,JP,gasoline,3646,74.0k,RX300,4950.0k
3665,7,Middle,Mercedes-Benz,Blagoveshchensk,DE,gasoline,3665,38.0k,E-Class,5600.0k
3667,10,Old,Toyota,Blagoveshchensk,JP,hybrid,3667,84.0k,Aqua,900.0k
3671,11,Old,Toyota,Blagoveshchensk,JP,hybrid,3671,170.0k,Sai,1760.0k
3695,18,Old,Toyota,Blagoveshchensk,JP,gasoline,3695,279.8k,Crown,1225.0k
3703,5,Middle,Toyota,Blagoveshchensk,JP,gasoline,3703,51.0k,Sienta,1755.0k
3706,21,Old,Toyota,Blagoveshchensk,JP,gasoline,3706,150.0k,Caldina,690.0k
3715,19,Old,Nissan,Blagoveshchensk,JP,gasoline,3715,220.0k,Note,550.0k
3733,4,Middle,Great,Blagoveshchensk,CN,gasoline,3733,47.0k,Wall Pao,2900.0k
3734,23,Old,Toyota,Blagoveshchensk,JP,gasoline,3734,170.0k,Progres,500.0k
3743,20,Old,Toyota,Blagoveshchensk,JP,gasoline,3743,169.0k,ist,660.0k
3756,27,Old,Toyota,Blagoveshchensk,JP,gasoline,3756,320.0k,Crown,570.0k
3776,14,Old,Toyota,Blagoveshchensk,JP,gasoline,3776,147.0k,Allion,1230.0k
3782,6,Middle,Toyota,Blagoveshchensk,JP,gasoline,3782,100.0k,Vitz,945.0k
3786,5,Middle,Toyota,Blagoveshchensk,JP,hybrid,3786,10.0k,Alphard,6200.0k
3797,13,Old,Toyota,Blagoveshchensk,JP,gasoline,3797,139.0k,Voxy,1650.0k
3798,10,Old,Toyota,Blagoveshchensk,JP,hybrid,3798,130.0k,Voxy,2000.0k
3802,6,Middle,Subaru,Blagoveshchensk,JP,gasoline,3802,81.0k,Justy,1000.0k
